school_name,niche_ranking,location,num_of_students,link,phone,website,video_url,student_teacher_ratio,yearly_tuition,avg_financial_aid,application_deadline
The Loomis Chaffee School,#14 Best Boarding High Schools in America,"Windsor, CT, ",690,https://www.niche.com/k12/the-loomis-chaffee-school-windsor-ct/,(860) 687-6000,loomischaffee.org,,8:1,"$45,360",,
Middlesex School,#13 Best Boarding High Schools in America,"Concord, MA, ",406,https://www.niche.com/k12/middlesex-school-concord-ma/,(978) 371-6524,mxschool.edu,,4:1,"$49,480","$47,232",January 31
Cranbrook Schools,#12 Best Boarding High Schools in America,"Bloomfield HIlls, MI, ","1,659",https://www.niche.com/k12/cranbrook-schools-bloomfield-hills-mi/,(248) 645-3610,schools.cranbrook.edu/page,,7:1,"$34,200","$17,102",Rolling Admissions
Cate School,#11 Best Boarding High Schools in America,"Carpinteria, CA, ",280,https://www.niche.com/k12/cate-school-carpinteria-ca/,(805) 684-4127,cate.org,,6:1,"$49,700","$49,021",January 15
Groton School,#10 Best Boarding High Schools in America,"Groton, MA, ",368,https://www.niche.com/k12/groton-school-groton-ma/,(978) 448-3363,groton.org,,5:1,"$43,400","$43,200",
Noble and Greenough School,#9 Best Boarding High Schools in America,"Dedham, MA, ",614,https://www.niche.com/k12/noble-and-greenough-school-dedham-ma/,(781) 326-3700,nobles.edu,,5:1,"$50,200",,January 15
Milton Academy,#8 Best Boarding High Schools in America,"Milton, MA, ","1,000",https://www.niche.com/k12/milton-academy-milton-ma/,(617) 898-1798,milton.edu,,7:1,"$47,330",,
The Thacher School,#7 Best Boarding High Schools in America,"Ojai, CA, ",246,https://www.niche.com/k12/the-thacher-school-ojai-ca/,(805) 646-4377,thacher.org,,6:1,"$40,970","$44,620",January 15
Deerfield Academy,#6 Best Boarding High Schools in America,"Deerfield, MA, ",658,https://www.niche.com/k12/deerfield-academy-deerfield-ma/,(413) 772-0241,deerfield.edu,,5:1,"$44,735","$35,000",January 15
The Lawrenceville School,#5 Best Boarding High Schools in America,"Lawrenceville, NJ, ",822,https://www.niche.com/k12/the-lawrenceville-school-lawrenceville-nj/,(609) 896-0408,lawrenceville.org,,7:1,"$51,440",,
St. Paul's School,#4 Best Boarding High Schools in America,"Concord, NH, ",541,https://www.niche.com/k12/st-pauls-school-concord-nh/,(603) 229-4700,sps.edu,,5:1,"$59,900","$56,500",January 15
Central Catholic High School,,"Pittsburgh, PA, ",825,https://www.niche.com/k12/central-catholic-high-school-pittsburgh-pa/,(412) 208-3400,centralcatholichs.com,,12:1,"$12,300",,Rolling Admissions
Choate Rosemary Hall,#3 Best Boarding High Schools in America,"Wallingford, CT, ",850,https://www.niche.com/k12/choate-rosemary-hall-wallingford-ct/,(203) 697-2000,choate.edu,,4:1,"$45,710","$46,105",
Phillips Exeter Academy,#2 Best Boarding High Schools in America,"Exeter, NH, ","1,085",https://www.niche.com/k12/phillips-exeter-academy-exeter-nh/,(603) 772-4311,exeter.edu,,5:1,"$38,740",,
Phillips Academy,#1 Best Boarding High Schools in America,"Andover, MA, ","1,150",https://www.niche.com/k12/phillips-academy-andover-ma/,(978) 749-4000,andover.edu,,5:1,"$43,300","$40,800",February 1
